"region","city","date","year","week","year_week","infections","new_infections"
"LK Tübingen","Mössingen","2021-01-07",2021,1,"2021-01",599,4.0
"LK Tübingen","Nehren","2021-01-07",2021,1,"2021-01",75,0.0
"LK Tübingen","Neustetten","2021-01-07",2021,1,"2021-01",118,3.0
"LK Tübingen","Ofterdingen","2021-01-07",2021,1,"2021-01",130,1.0
"LK Tübingen","Rottenburg","2021-01-07",2021,1,"2021-01",1112,35.0
"LK Tübingen","Starzach","2021-01-07",2021,1,"2021-01",137,4.0
"LK Tübingen","Tübingen","2021-01-07",2021,1,"2021-01",1967,30.0
"LK Tübingen","Ammerbuch","2021-01-14",2021,2,"2021-02",282,14.0
"LK Tübingen","Bodelshausen","2021-01-14",2021,2,"2021-02",100,5.0
"LK Tübingen","Dettenhausen","2021-01-14",2021,2,"2021-02",101,4.0
"LK Tübingen","Dußlingen","2021-01-14",2021,2,"2021-02",147,0.0
"LK Tübingen","Gomaringen","2021-01-14",2021,2,"2021-02",212,2.0
"LK Tübingen","Hirrlingen","2021-01-14",2021,2,"2021-02",80,4.0
"LK Tübingen","Kirchentelllinsfurt","2021-01-14",2021,2,"2021-02",159,10.0
"LK Tübingen","Kusterdingen","2021-01-14",2021,2,"2021-02",212,10.0
"LK Tübingen","LK","2021-01-14",2021,2,"2021-02",5611,""
"LK Tübingen","Mössingen","2021-01-14",2021,2,"2021-02",614,15.0
"LK Tübingen","Nehren","2021-01-14",2021,2,"2021-02",79,4.0
"LK Tübingen","Neustetten","2021-01-14",2021,2,"2021-02",128,10.0
"LK Tübingen","Ofterdingen","2021-01-14",2021,2,"2021-02",139,9.0
"LK Tübingen","Rottenburg","2021-01-14",2021,2,"2021-02",1171,59.0
"LK Tübingen","Starzach","2021-01-14",2021,2,"2021-02",141,4.0
"LK Tübingen","Tübingen","2021-01-14",2021,2,"2021-02",2046,79.0
"LK Tübingen","Ammerbuch","2021-01-21",2021,3,"2021-03",285,3.0
"LK Tübingen","Bodelshausen","2021-01-21",2021,3,"2021-03",102,2.0
"LK Tübingen","Dettenhausen","2021-01-21",2021,3,"2021-03",101,0.0
"LK Tübingen","Dußlingen","2021-01-21",2021,3,"2021-03",151,4.0
"LK Tübingen","Gomaringen","2021-01-21",2021,3,"2021-03",213,1.0
"LK Tübingen","Hirrlingen","2021-01-21",2021,3,"2021-03",83,3.0
"LK Tübingen","Kirchentelllinsfurt","2021-01-21",2021,3,"2021-03",161,2.0
"LK Tübingen","Kusterdingen","2021-01-21",2021,3,"2021-03",214,2.0
"LK Tübingen","LK","2021-01-21",2021,3,"2021-03",5734,""
"LK Tübingen","Mössingen","2021-01-21",2021,3,"2021-03",630,16.0
"LK Tübingen","Nehren","2021-01-21",2021,3,"2021-03",81,2.0
"LK Tübingen","Neustetten","2021-01-21",2021,3,"2021-03",128,0.0
"LK Tübingen","Ofterdingen","2021-01-21",2021,3,"2021-03",145,6.0
"LK Tübingen","Rottenburg","2021-01-21",2021,3,"2021-03",1198,27.0
"LK Tübingen","Starzach","2021-01-21",2021,3,"2021-03",144,3.0
"LK Tübingen","Tübingen","2021-01-21",2021,3,"2021-03",2098,52.0
"LK Tübingen","Ammerbuch","2021-01-28",2021,4,"2021-04",290,5.0
"LK Tübingen","Bodelshausen","2021-01-28",2021,4,"2021-04",107,5.0
"LK Tübingen","Dettenhausen","2021-01-28",2021,4,"2021-04",102,1.0
"LK Tübingen","Dußlingen","2021-01-28",2021,4,"2021-04",152,1.0
"LK Tübingen","Gomaringen","2021-01-28",2021,4,"2021-04",217,4.0
"LK Tübingen","Hirrlingen","2021-01-28",2021,4,"2021-04",90,7.0
"LK Tübingen","Kirchentelllinsfurt","2021-01-28",2021,4,"2021-04",166,5.0
"LK Tübingen","Kusterdingen","2021-01-28",2021,4,"2021-04",219,5.0
"LK Tübingen","LK","2021-01-28",2021,4,"2021-04",5854,""
"LK Tübingen","Mössingen","2021-01-28",2021,4,"2021-04",642,12.0
"LK Tübingen","Nehren","2021-01-28",2021,4,"2021-04",81,0.0
"LK Tübingen","Neustetten","2021-01-28",2021,4,"2021-04",128,0.0
"LK Tübingen","Ofterdingen","2021-01-28",2021,4,"2021-04",149,4.0
"LK Tübingen","Rottenburg","2021-01-28",2021,4,"2021-04",1213,15.0
"LK Tübingen","Starzach","2021-01-28",2021,4,"2021-04",144,0.0
"LK Tübingen","Tübingen","2021-01-28",2021,4,"2021-04",2154,56.0
"LK Tübingen","Ammerbuch","2021-02-04",2021,5,"2021-05",297,7.0
"LK Tübingen","Bodelshausen","2021-02-04",2021,5,"2021-05",109,2.0
"LK Tübingen","Dettenhausen","2021-02-04",2021,5,"2021-05",103,1.0
"LK Tübingen","Dußlingen","2021-02-04",2021,5,"2021-05",154,2.0
"LK Tübingen","Gomaringen","2021-02-04",2021,5,"2021-05",218,1.0
"LK Tübingen","Hirrlingen","2021-02-04",2021,5,"2021-05",90,0.0
"LK Tübingen","Kirchentelllinsfurt","2021-02-04",2021,5,"2021-05",171,5.0
"LK Tübingen","Kusterdingen","2021-02-04",2021,5,"2021-05",225,6.0
"LK Tübingen","LK","2021-02-04",2021,5,"2021-05",5940,""
"LK Tübingen","Mössingen","2021-02-04",2021,5,"2021-05",646,4.0
"LK Tübingen","Nehren","2021-02-04",2021,5,"2021-05",82,1.0
"LK Tübingen","Neustetten","2021-02-04",2021,5,"2021-05",131,3.0
"LK Tübingen","Ofterdingen","2021-02-04",2021,5,"2021-05",155,6.0
"LK Tübingen","Rottenburg","2021-02-04",2021,5,"2021-05",1231,18.0
"LK Tübingen","Starzach","2021-02-04",2021,5,"2021-05",145,1.0
"LK Tübingen","Tübingen","2021-02-04",2021,5,"2021-05",2183,29.0
"LK Tübingen","Ammerbuch","2021-02-11",2021,6,"2021-06",298,1.0
"LK Tübingen","Bodelshausen","2021-02-11",2021,6,"2021-06",111,2.0
"LK Tübingen","Dettenhausen","2021-02-11",2021,6,"2021-06",103,0.0
"LK Tübingen","Dußlingen","2021-02-11",2021,6,"2021-06",158,4.0
"LK Tübingen","Gomaringen","2021-02-11",2021,6,"2021-06",222,4.0
"LK Tübingen","Hirrlingen","2021-02-11",2021,6,"2021-06",91,1.0
"LK Tübingen","Kirchentelllinsfurt","2021-02-11",2021,6,"2021-06",173,2.0
"LK Tübingen","Kusterdingen","2021-02-11",2021,6,"2021-06",231,6.0
"LK Tübingen","LK","2021-02-11",2021,6,"2021-06",6000,""
"LK Tübingen","Mössingen","2021-02-11",2021,6,"2021-06",651,5.0
"LK Tübingen","Nehren","2021-02-11",2021,6,"2021-06",84,2.0
"LK Tübingen","Neustetten","2021-02-11",2021,6,"2021-06",133,2.0
"LK Tübingen","Ofterdingen","2021-02-11",2021,6,"2021-06",157,2.0
"LK Tübingen","Rottenburg","2021-02-11",2021,6,"2021-06",1241,10.0
"LK Tübingen","Starzach","2021-02-11",2021,6,"2021-06",146,1.0
"LK Tübingen","Tübingen","2021-02-11",2021,6,"2021-06",2201,18.0
"LK Tübingen","Ammerbuch","2021-02-18",2021,7,"2021-07",298,0.0
"LK Tübingen","Bodelshausen","2021-02-18",2021,7,"2021-07",115,4.0
"LK Tübingen","Dettenhausen","2021-02-18",2021,7,"2021-07",103,0.0
"LK Tübingen","Dußlingen","2021-02-18",2021,7,"2021-07",158,0.0
"LK Tübingen","Gomaringen","2021-02-18",2021,7,"2021-07",224,2.0
"LK Tübingen","Hirrlingen","2021-02-18",2021,7,"2021-07",92,1.0
"LK Tübingen","Kirchentelllinsfurt","2021-02-18",2021,7,"2021-07",177,4.0
"LK Tübingen","Kusterdingen","2021-02-18",2021,7,"2021-07",238,7.0
"LK Tübingen","LK","2021-02-18",2021,7,"2021-07",6105,""
"LK Tübingen","Mössingen","2021-02-18",2021,7,"2021-07",665,14.0
"LK Tübingen","Nehren","2021-02-18",2021,7,"2021-07",84,0.0
"LK Tübingen","Neustetten","2021-02-18",2021,7,"2021-07",133,0.0
"LK Tübingen","Ofterdingen","2021-02-18",2021,7,"2021-07",179,22.0
"LK Tübingen","Rottenburg","2021-02-18",2021,7,"2021-07",1254,13.0
"LK Tübingen","Starzach","2021-02-18",2021,7,"2021-07",147,1.0
"LK Tübingen","Tübingen","2021-02-18",2021,7,"2021-07",2238,37.0
"LK Tübingen","Ammerbuch","2021-02-25",2021,8,"2021-08",302,4.0
"LK Tübingen","Bodelshausen","2021-02-25",2021,8,"2021-08",115,0.0
"LK Tübingen","Dettenhausen","2021-02-25",2021,8,"2021-08",103,0.0
"LK Tübingen","Dußlingen","2021-02-25",2021,8,"2021-08",158,0.0
"LK Tübingen","Gomaringen","2021-02-25",2021,8,"2021-08",229,5.0
"LK Tübingen","Hirrlingen","2021-02-25",2021,8,"2021-08",93,1.0
"LK Tübingen","Kirchentelllinsfurt","2021-02-25",2021,8,"2021-08",184,7.0
"LK Tübingen","Kusterdingen","2021-02-25",2021,8,"2021-08",241,3.0
"LK Tübingen","LK","2021-02-25",2021,8,"2021-08",6193,""
"LK Tübingen","Mössingen","2021-02-25",2021,8,"2021-08",689,24.0
"LK Tübingen","Nehren","2021-02-25",2021,8,"2021-08",85,1.0
"LK Tübingen","Neustetten","2021-02-25",2021,8,"2021-08",135,2.0
"LK Tübingen","Ofterdingen","2021-02-25",2021,8,"2021-08",183,4.0
"LK Tübingen","Rottenburg","2021-02-25",2021,8,"2021-08",1270,16.0
"LK Tübingen","Starzach","2021-02-25",2021,8,"2021-08",149,2.0
"LK Tübingen","Tübingen","2021-02-25",2021,8,"2021-08",2257,19.0
"LK Tübingen","Ammerbuch","2021-03-04",2021,9,"2021-09",305,3.0
"LK Tübingen","Bodelshausen","2021-03-04",2021,9,"2021-09",119,4.0
"LK Tübingen","Dettenhausen","2021-03-04",2021,9,"2021-09",104,1.0
"LK Tübingen","Dußlingen","2021-03-04",2021,9,"2021-09",161,3.0
"LK Tübingen","Gomaringen","2021-03-04",2021,9,"2021-09",230,1.0
"LK Tübingen","Hirrlingen","2021-03-04",2021,9,"2021-09",93,0.0
"LK Tübingen","Kirchentelllinsfurt","2021-03-04",2021,9,"2021-09",186,2.0
"LK Tübingen","Kusterdingen","2021-03-04",2021,9,"2021-09",246,5.0
"LK Tübingen","LK","2021-03-04",2021,9,"2021-09",6277,""
"LK Tübingen","Mössingen","2021-03-04",2021,9,"2021-09",705,16.0
"LK Tübingen","Nehren","2021-03-04",2021,9,"2021-09",89,4.0
